CUS_NO ; BRANCH ; BIRTH
677;1001;240701     
678;1001;451120     
679;1001;530316     
680;1001;520302     
681;1001;360330     
682;1001;550426     
683;1001;430101     
684;1001;500601     
685;1001;310817     
686;1001;240204     
687;1001;460709     
688;1001;290925     
689;1001;130209     
690;1001;670101     
691;1001;340802     
692;1001;460509     
693;1001;271026     
694;1001;570630     
695;1001;380228     
696;1001;370506     
697;1001;660623     
698;1001;261226     
699;1001;580112     
700;1001;570419     
701;1001;450802     
702;1001;520101     
703;1001;630505     
704;1001;530631     
705;1001;120912     
706;1001;580629     
707;1001;350603     
708;1001;430305     
709;1001;600628     
710;1001;290418     
711;1001;320320     
712;1001;301025     
713;1001;660102     
714;1001;240726     
715;1001;240612     
716;1001;270214     
717;1001;410516     
718;1001;190105     
719;1001;310412     
720;1001;370402     
721;1001;470810     
722;1001;521124     
723;1001;290805     
724;1001;310401     
725;1001;531205     
726;1001;360109     
727;1001;650630     
728;1001;190506     
729;1001;520727     
730;1001;610921     
731;1001;280912     
732;1001;240701     
733;1001;370601     
734;1001;360514     
735;1001;440905     
736;1001;291129     
737;1001;500501     
738;1001;311201     
739;1001;330601     
740;1001;481101     
741;1001;540111     
742;1001;410315     
743;1001;570228     
744;1001;490215     
745;1001;450928     
746;1001;511221     
747;1001;341005     
748;1001;251025     
749;1001;451220     
750;1001;400812     
751;1001;191124     
759;1005;310512     
762;1001;360322     
763;1010;190501     
765;1001;441201     
766;2007;510101     
767;1010;311210     
768;1008;080810     
770;1006;560502     
771;1009;270306     
774;1008;530808     
776;1001;450208     
777;1010;200928     
779;1005;670914     
780;1005;740211     
781;1001;250412     
782;1006;610625     
784;1005;721103     
785;2007;530404     
786;1009;290807     
788;1003;131120     
789;2007;380431     
790;2007;580110     
791;1001;550605     
792;1001;570620     
793;1007;530128     
794;1001;390617     
795;2008;350101     
796;1006;550921     
799;1006;561218     
800;1005;270607     
801;1008;151010     
809;2007;411227     
810;1009;390201     
811;2007;521108     
812;1009;260201     
813;1006;341003     
814;1007;321002     
815;1006;480920     
817;1001;431001     
818;1006;151201     
820;1009;350102     
821;1009;290723     
823;1007;040701     
825;1001;500325     
826;1008;610401     
828;2001;451130     
832;2002;720108     
833;1009;630201     
834;1010;381103     
835;1001;310602     
836;1008;341107     
837;1009;350104     
839;2007;350702     
840;1001;250230     
841;2001;450601     
842;1009;141003     
844;1008;610507     
845;1008;610215     
846;1001;470512     
847;2007;480630     
849;2001;440101     
851;1007;040101     
852;1007;500531     
856;1001;340101     
858;2007;500802     
860;1008;390628     
862;2007;550108     
863;1006;101203     
864;2003;570609     
865;2007;640612     
868;1001;390610     
872;1001;481007     
873;2003;371028     
874;1001;440701     
875;1007;110704     
877;1001;410110     
878;1004;420102     
880;1009;590611     
884;1010;250428     
886;2003;300402     
889;1009;600701     
890;1009;440201     
892;1007;420707     
896;2007;411217     
897;1003;310728     
898;1008;291020     
900;2003;090410     
903;1009;010101     
904;1001;381215     
905;1008;480403     
906;2002;540426     
907;1001;260929     
908;1001;080801     
909;1007;360308     
910;2007;100614     
911;1006;410320     
912;1009;681115     
913;1006;221017     
914;1006;100915     
918;1006;330903     
919;1007;440620     
920;2002;301201     
921;1006;370616     
922;1001;420111     
924;1008;380902     
925;2001;530217     
927;1001;480625     
929;1006;400211     
930;1007;290110     
931;1009;090822     
932;1003;330901     
933;1009;491210     
934;1003;291024     
935;2003;510930     
936;1007;580107     
937;1008;620630     
938;1004;520716     
939;2002;330320     
941;1005;350526     
942;1008;201201     
943;1003;600526     
944;1001;700314     
945;1008;470101     
946;1001;581130     
948;2007;260616     
949;1001;580526     
953;2003;500305     
954;1009;551211     
955;2001;400914     
956;1001;661203     
957;1006;460302     
958;1007;330906     
959;2007;450631     
960;1008;570618     
962;2007;400603     
963;2003;381125     
964;1008;481107     
965;1008;610625     
966;1003;480730     
967;1001;240308     
968;1008;481116     
969;1003;080505     
970;1006;370925     
971;1003;540608     
972;1001;490327     
973;2001;511228     
975;1009;271120     
976;2002;210104     
978;1001;450120     
979;1008;500625     
980;1001;460810     
981;1001;360310     
982;1006;310127     
983;2004;310501     
984;1005;660101     
985;1001;580908     
986;2002;271106     
987;1006;390320     
988;2008;370810     
989;1008;550528     
990;2002;470606     
991;2002;300101     
994;1010;260120     
997;1009;480426     
998;1008;241208     
999;2004;300102     
1000;1010;500908    
1002;1007;420630    
1003;1008;261015    
1004;1006;590430    
1005;1005;801221    
1006;1011;610416    
1007;1001;430108    
1009;1008;630323    
1011;2003;400601    
1012;1007;450918    
1013;1001;350907    
1015;1008;601111    
1018;1005;560101    
1019;1009;210414    
1020;1001;420503    
1021;1011;400903    
1024;2007;420114    
1026;1001;050131    
1027;2001;090501    
1028;1011;401022    
1029;2007;420120    
1030;1009;370224    
1031;1004;370102    
1032;1009;800609    
1033;1001;330101    
1034;2007;460514    
1035;2007;390205    
1038;1001;280401    
1039;1007;190404    
1040;1008;240828    
1041;1008;420716    
1043;2002;250603    
1046;1009;810613    
1047;2004;250101    
1048;1001;431101    
1049;1001;490710    
1053;1009;401228    
1054;1003;201104    
1055;1009;271018    
1056;1001;430222    
1057;2008;560108    
1059;2004;520630    
1061;1001;560424    
1062;2007;430502    
1064;1010;280617    
1066;1001;620201    
1069;1009;450919    
1070;1008;060415    
1071;1010;371001    
1072;1006;301112    
1073;2007;471009    
1074;1006;471025    
1076;1001;370322    
1077;1011;340911    
1078;1001;380619    
1079;2007;411201    
1081;2001;530110    
1083;1006;410610    
1084;2004;200902    
1085;1001;560521    
1087;1011;240103    
1088;1001;210503    
1089;1004;411106    
1090;2004;420920    
1091;1010;211219    
1093;1007;120816    
1095;1011;351014    
1096;2009;411104    
1097;2007;450102    
1099;2007;321106    
1100;2004;630102    
1101;2001;460403    
1102;2003;250501    
1104;2002;420111    
1105;1007;530809    
1107;2004;240430    
1108;1001;310101    
1109;1008;650627    
1112;1001;231021    
1113;1001;560820    
1119;1007;360407    
1120;2004;160101    
1121;2003;360608    
1122;1001;401004    
1125;1011;530522    
1126;1001;070202    
1127;2004;440103    
1131;1009;480420    
1132;1001;410101    
1134;1008;120201    
1135;1010;300219    
1137;1001;520104    
1138;2007;560517    
1139;1006;291122    
1140;1007;400121    
1142;1007;570407    
1143;1009;260101    
1145;1009;220423    
1147;1003;260611    
1148;2003;561220    
1149;1011;110101    
1151;2007;470814    
1152;1001;380201    
1155;1009;590111    
1156;1009;421102    
1157;2003;500125    
1159;2007;260411    
1160;1010;400323    
1161;2007;330302    
1162;2004;590415    
1163;1007;530409    
1164;1001;330110    
1166;1008;150103    
1167;2002;371129    
1168;1001;231005    
1169;1011;560511    
1171;1008;430704    
1172;1008;680411    
1175;1001;660420    
1176;2003;590517    
1177;1001;390219    
1178;1006;600406    
1180;2003;170930    
1181;1006;410120    
1182;2004;400601    
1183;1001;430101    
1184;1008;330401    
1185;1003;311103    
1187;1007;560630    
1188;2004;460410    
1190;1010;440808    
1191;1011;400614    
1192;1007;231016    
1193;1006;310320    
1195;2002;370623    
1196;1009;501118    
1197;1011;380701    
1198;1009;340710    
1199;2002;460201    
1200;1009;080607    
1201;2007;340202    
1202;1005;800823    
1205;1001;380101    
1206;1004;420801    
1207;1001;380117    
1209;1010;300531    
1212;2003;091214    
1213;1007;590926    
1214;1009;530625    
1215;1009;370914    
1216;1009;130230    
1218;2007;480230    
1219;1007;580608    
1220;1001;390210    
1221;1007;510511    
1223;1008;350515    
1229;2004;390103    
1231;1011;460522    
1232;2004;420603    
1233;2003;510301    
1235;1007;400708    
1236;1001;540417    
1237;1006;420631    
1238;1001;390204    
1240;1009;611028    
1242;1007;470422    
1243;1011;400631    
1244;2003;160416    
1245;2002;400615    
1246;1008;471014    
1247;1009;590607    
1249;2003;270101    
1250;1006;530417    
1251;2007;660601    
1252;1001;670211    
1253;1007;400418    
1254;1009;480101    
1255;1001;031212    
1257;1001;590316    
1258;1006;350310    
1261;1009;410225    
1263;1011;190621    
1265;1009;470104    
1266;2007;290415    
1268;1009;380327    
1272;1001;430214    
1273;2008;420707    
1274;1009;530330    
1276;2004;580309    
1278;1010;370610    
1279;1009;420328    
1280;1001;380511    
1281;2001;640110    
1282;1001;530819    
1283;1008;460325    
1284;1006;400420    
1285;1003;310319    
1286;2002;500115    
1288;1001;450401    
1289;2004;490310    
1290;2004;600210    
1291;2007;520110    
1292;1001;470502    
1293;1010;540914    
1296;1001;450101    
1298;1006;370304    
1299;1009;020217    
1301;1007;561014    
1304;1001;380605    
1305;1004;251005    
1306;2009;331010    
1309;1001;361202    
1310;2002;520630    
1311;1001;680315    
1312;2001;550515    
1313;2004;370101    
1315;2008;560420    
1316;1001;420406    
1317;2008;410101    
1319;2003;420922    
1320;1009;380515    
1321;2004;540524    
1324;1009;220728    
1325;1009;570626    
1326;1001;410117    
1329;1008;320703    
1331;1001;460106    
1332;1007;310505    
1333;1001;291010    
1334;1001;411005    
1335;1001;350709    
1336;1010;610509    
1337;2004;350101    
1338;2004;300210    
1341;1006;390410    
1342;2009;070607    
1345;1009;391121    
1346;1001;430103    
1348;2009;520807    
1349;1007;530628    
1350;2007;411015    
1351;1001;360808    
1352;1010;580629    
1354;2004;581114    
1356;1001;481103    
1358;1001;370415    
1360;1001;320404    
1361;2009;420628    
1362;2004;590101    
1363;1009;281126    
1364;1006;291025    
1367;1001;270109    
1369;1008;081010    
1370;1001;490401    
1371;1001;371010    
1374;1007;380618    
1376;1008;280121    
1377;1007;391003    
1378;1001;380715    
1379;1001;610210    
1380;1010;270530    
1381;1001;230813    
1382;1001;420612    
1383;1009;280122    
1384;1001;581002    
1385;2002;281003    
1386;2004;520925    
1387;1001;490202    
1389;1003;420601    
1390;2001;521201    
1392;2007;580504    
1393;1007;200230    
1394;1007;380904    
1395;1001;530609    
1396;1011;590304    
1397;2004;271107    
1399;1008;431017    
1400;1009;040701    
1401;2004;330101    
1402;2004;210205    
1405;1007;320420    
1406;1009;540410    
1407;1001;440602    
1408;1008;410119    
1409;2004;120901    
1411;2004;520914    
1413;2003;270715    
1416;2003;420501    
1417;2002;461001    
1418;1007;440120    
1421;1008;360907    
1423;2009;820720    
1424;1006;520630    
1425;1009;520615    
1426;2002;220809    
1428;2007;600808    
1430;2003;520603    
1431;1010;330110    
1433;1001;670501    
1434;2007;280806    
1436;1011;600607    
1437;1001;190317    
1438;1001;600101    
1440;1001;191012    
1442;2004;710531    
1443;1009;390615    
1444;2002;310405    
1445;1001;270910    
1446;2007;290821    
1447;1009;310220    
1450;1001;450628    
1451;2007;370429    
1453;2009;250601    
1454;1006;690426    
1455;1001;730927    
1456;1009;510211    
1457;1001;450817    
1458;1006;400115    
1459;1009;351006    
1460;2009;430618    
1461;2004;380101    
1462;2004;301125    
1464;2004;470629    
1465;1001;420208    
1468;2004;180623    
1469;1006;230610    
1471;1008;780906    
1472;1007;440907    
1473;2004;350822    
1476;1001;470412    
1477;1007;270323    
1478;2004;610126    
1481;2007;400702    
1482;1008;430608    
1483;1009;220310    
1485;2008;610624    
1486;1011;250927    
1488;1007;510313    
1489;1008;270927    
1490;2004;420206    
1491;1001;670130    
1492;2007;580417    
1493;1001;461106    
1494;1006;340316    
1495;1011;530919    
1496;1011;540404    
1497;2001;380730    
1498;1007;200909    
1499;2003;551004    
1500;1010;310202    
1501;1006;431217    
1502;2001;420125    
1503;2001;290101    
1504;1001;560113    
1505;1009;480628    
1506;2008;491012    
1508;1004;560129    
1509;1001;230925    
1511;1006;271004    
1513;1009;580423    
1514;1006;410103    
1515;1003;240624    
1517;2002;451201    
1518;2004;590716    
1519;1010;210414    
1521;1008;620601    
1522;1001;550310    
1523;1001;421103    
1524;1008;390706    
1525;1008;310302    
1526;1009;341125    
1527;1010;500606    
1529;2004;431003    
1531;1009;130320    
1532;1008;300516    
1533;1009;281204    
1534;1003;471128    
1536;1008;530412    
1539;1010;420609    
1540;2003;520420    
1542;2002;470922    
1543;1004;500417    
1544;1007;581027    
1547;1008;250805    
1549;1008;610231    
1551;1005;570330    
1553;2007;531013    
1555;2007;500602    
1556;1008;331204    
1557;1008;480629    
1558;2004;540401    
1559;1009;090703    
1560;1010;290102    
1562;1003;390915    
1565;2002;470326    
1567;2003;500624    
1568;2004;570625    
1569;1011;430721    
1570;2008;560329    
1571;2008;500327    
1572;1007;450631    
1573;2004;550827    
1574;1007;430509    
1575;1001;410905    
1576;2002;590606    
1578;1004;260311    
1580;2002;520211    
1581;1010;430101    
1582;2004;620525    
1583;1008;360902    
1585;1001;600623    
1587;2003;530618    
1588;1004;150324    
1590;2008;470508    
1591;1007;450126    
1592;1011;550417    
1593;1001;410722    
1594;1003;550631    
1595;1001;461028    
1596;1001;540227    
1597;1003;500628    
1598;1006;420116    
1599;1007;421001    
1600;1001;490120    
1601;1008;160912    
1604;1009;340506    
1605;1001;490601    
1606;1011;590227    
1607;1011;440830    
1608;2004;360901    
1609;1008;191004    
1610;1001;260908    
1611;1009;370302    
1612;1008;601115    
1613;2002;430102    
1615;2009;440101    
1617;1011;380317    
1618;1011;530904    
1619;1006;500313    
1621;1004;371018    
1622;1006;451128    
1623;1001;560601    
1626;1001;570628    
1628;1011;480102    
1630;1001;480519    
1631;2009;561201    
1634;1001;570507    
1635;1001;390502    
1636;2004;440103    
1637;1011;500608    
1638;2009;361213    
1639;1003;320522    
1640;1010;480121    
1641;1001;780816    
1642;2007;170902    
1643;1001;551012    
1645;1011;410317    
1647;1001;420202    
1648;1009;410815    
1650;1007;530119    
1651;1007;551119    
1652;2002;291001    
1653;1006;140410    
1656;1009;340406    
1657;1011;280110    
1659;1001;540923    
1660;1008;310107    
1664;1009;400101    
1666;1011;450715    
1667;2004;630315    
1668;2004;580916    
1669;1011;320102    
1670;2002;210115    
1671;1008;360609    
1672;1001;390809    
1674;2007;530425    
1676;2004;570110    
1678;1010;321022    
1679;1011;400101    
1681;1008;310601    
1683;1007;540630    
1684;1004;370525    
1685;1001;360705    
1687;2004;420407    
1688;2009;470716    
1691;1009;511110    
1692;1001;290601    
1693;2004;530513    
1694;2003;590411    
1695;2004;450205    
1696;1001;220729    
1697;2004;250701    
1698;2002;460825    
1701;1008;270230    
1702;1009;550628    
1703;1001;570927    
1704;1001;451215    
1705;1011;391103    
1706;1009;300303    
1707;2004;540631    
1708;1009;640626    
1709;1009;491130    
1716;2004;540210    
1717;2007;330401    
1718;2002;390401    
1719;2007;480101    
1721;1011;520630    
1722;2004;501028    
1724;1007;570407    
1725;2002;480101    
1726;2004;320502    
1727;1006;320717    
1728;1011;430203    
1729;2004;420401    
1730;1008;351004    
1731;2002;300328    
1733;1001;440201    
1734;1011;030810    
1735;1004;440306    
1736;2009;590624    
1737;1008;320527    
1738;1010;410310    
1739;1009;500101    
1740;1006;460630    
1741;1007;410823    
1742;1008;371010    
1744;2002;580615    
1745;1009;460601    
1747;1001;430101    
1748;1009;450420    
1749;2004;610301    
1750;1007;741024    
1751;1007;341102    
1752;1004;520602    
1755;1001;160926    
1756;1003;320101    
1757;1007;600426    
1758;1001;581011    
1761;1001;380711    
1762;1004;380404    
1763;1004;500408    
1764;2004;700924    
1765;2007;521203    
1766;1004;290703    
1767;1011;740727    
1768;2004;500701    
1770;1001;390404    
1771;1001;300403    
1772;1011;430328    
1773;1008;390628    
1774;1007;371005    
1775;2004;340601    
1776;1010;350501    
1777;1008;610630    
1778;1004;440709    
1779;1009;570628    
1780;1001;380602    
1781;2002;180703    
1782;2009;481228    
1784;2007;270701    
1786;1008;300610    
1787;2004;570630    
1788;2003;250915    
1790;1005;450420    
1792;1011;371115    
1793;1001;441212    
1795;2004;390712    
1796;1011;500302    
1797;2008;290103    
1798;2004;520525    
1801;1007;400901    
1802;2004;430606    
1803;1011;510103    
1805;1005;520630    
1806;1008;401006    
1808;2003;480507    
1809;1004;531219    
1810;1001;240716    
1811;1001;450101    
1812;2001;600924    
1813;2004;460104    
1814;1009;370322    
1815;1001;410927    
1816;1006;221110    
1817;2002;520624    
1818;1006;411006    
1819;1011;170819    
1820;2004;490516    
1821;1001;460615    
1822;2003;480625    
1823;1008;340601    
1824;1008;681014    
1825;1011;570118    
1827;2004;420201    
1828;2002;500125    
1830;1010;291217    
1832;1008;580513    
1833;1006;410226    
1835;2004;580525    
1836;2004;480601    
1837;1007;480724    
1838;1009;490624    
1839;1010;500718    
1840;1009;220225    
1841;1001;520602    
1842;2002;560202    
1843;2004;430110    
1844;2009;441104    
1845;1008;280401    
1847;1004;521201    
1848;1007;130216    
1849;1007;230721    
1850;1006;271102    
1851;2004;440601    
1853;2002;490701    
1854;2004;510201    
1856;2002;420601    
1857;1010;580603    
1859;2003;071201    
1861;2009;380401    
1862;1003;560701    
1863;2004;600411    
1864;1011;340212    
1866;1009;110307    
1867;2004;370325    
1868;1003;320110    
1869;1001;480207    
1870;1001;440606    
1872;1010;310714    
1873;1001;240428    
1874;2004;510621    
1876;1008;210610    
1877;1007;530301    
1879;2002;520105    
1880;2004;420104    
1881;1009;530213    
1882;2002;431226    
1884;2002;420701    
1885;2004;550327    
1886;1001;430101    
1887;1006;660327    
1888;2004;210801    
1890;1008;291101    
1891;1011;360624    
1893;1001;290107    
1895;1001;270623    
1897;2004;250301    
1898;1008;351120    
1899;1006;291201    
1900;1011;341201    
1901;1010;490808    
1902;2007;690506    
1904;1001;460313    
1905;1008;780802    
1907;2004;600210    
1908;1006;200110    
1910;1007;681112    
1911;2009;410101    
1912;1006;470630    
1913;1011;230627    
1914;2004;401001    
1915;1008;350205    
1917;1009;420214    
1918;1009;540101    
1919;1001;371103    
1920;2004;370607    
1922;1011;561213    
1923;1005;431101    
1924;1003;211105    
1925;2002;590102    
1926;1009;440926    
1927;1007;411120    
1928;1011;571115    
1929;1009;520326    
1930;1008;381013    
1931;2007;450205    
1932;1001;370602    
1935;2002;541201    
1936;1001;361014    
1938;1007;381102    
1940;2001;571229    
1941;1004;441112    
1943;1009;040701    
1944;1003;520622    
1945;2004;360110    
1947;2003;320805    
1948;2002;510407    
1949;1011;590803    
1950;1003;300617    
1952;2007;621121    
1953;1001;520523    
1954;2001;441102    
1955;1001;520615    
1957;1011;461223    
1959;1001;600221    
1961;1004;590427    
1963;2001;381010    
1965;2009;460527    
1966;1006;460501    
1967;1011;450604    
1969;2001;400101    
1970;1008;430524    
1971;1011;460210    
1972;2009;500921    
1974;1006;470601    
1975;2004;341210    
1977;2002;181126    
1979;2009;820719    
1981;1001;430530    
1982;1007;240403    
1984;1001;310117    
1986;1001;370809    
1987;2009;420901    
1988;1001;570625    
1989;2003;310501    
1990;2003;361022    
1992;1008;391009    
1993;1007;440201    
1994;1006;540229    
1995;2002;150105    
1997;1006;410123    
1998;2007;540501    
1999;1007;461201    
2000;1009;690613    
2001;1007;260519    
2003;2004;410610    
2005;1006;320303    
2006;1001;460817    
2008;1011;370228    
2009;1001;360904    
2010;1001;560616    
2011;2001;580601    
2014;2003;371030    
2015;2002;340301    
2016;1001;471213    
2019;1001;460921    
2021;1009;150920    
2023;1011;490605    
2026;1009;360701    
2028;2001;610212    
2029;1001;600106    
2031;1001;420101    
2032;1011;620614    
2033;1010;430124    
2034;1005;471228    
2035;1008;490415    
2037;2003;350410    
2038;1009;560405    
2040;1007;460120    
2041;1003;201208    
2042;1008;380519    
2043;1008;130402    
2044;1011;431204    
2046;2007;610904    
2047;1009;410919    
